States,District_name,Total Reg Users,ID_2
Madhya Pradesh,Satna,9109345,293
Maharashtra,Pune,162254617,329
Maharashtra,Mumbai suburban,98123191,317
Maharashtra,Thane,100505125,336
Maharashtra,Nashik,51042657,326
Maharashtra,Nagpur,44031253,323
Maharashtra,Aurangabad,36635317,309
Maharashtra,Mumbai,36394386,
Maharashtra,Ahmednagar,33185453,306
Maharashtra,Solapur,26589039,335
Maharashtra,Raigad,3541506,330
Maharashtra,Palghar,30521223,328
Manipur,Imphal west,2333260,343
Manipur,Imphal east,1504582,348
Manipur,Thoubal,702155,346
Manipur,Bishnupur,666143,340
Manipur,Churachandpur,567428,342
Manipur,Kangpokpi,461733,
Manipur,Kakching,310976,
Manipur,Ukhrul,224610,347
Manipur,Tamenglong,191585,345
Manipur,Jiribam,5430,
Manipur,Chandel,150728,341
Meghalaya,East khasi hills,1917093,350
Meghalaya,West garo hills,1009166,354
Meghalaya,Ribhoi,464061,352
Meghalaya,East jaintia hills,336736,351
Meghalaya,West jaintia hills,211821,353
Meghalaya,South garo hills,132087,354
Meghalaya,South west garo hills,154207,
Meghalaya,West khasi hills,119134,355
Meghalaya,North garo hills,155308,
Meghalaya,East garo hills,150402,349
Mizoram,Aizawl,1082530,356
Mizoram,Lunglei,259334,360
Mizoram,Kolasib,149969,358
Mizoram,Lawngtlai,200248,359
Mizoram,Champhai,120055,357
Mizoram,Mamit,110013,361
Mizoram,Serchhip,87562,363
Mizoram,Saiha,60331,362
Nagaland,Dimapur,2289602,364
Nagaland,Kohima,901358,365
Nagaland,Mokokchung,371659,366
Nagaland,Mon,374322,367
Nagaland,Phek,181905,368
Nagaland,Wokha,222383,370
Nagaland,Zunheboto,144628,371
Nagaland,Tuensang,208682,369
Nagaland,Peren,102407,368
Nagaland,Kiphire,94139,
Odisha,Khordha,36286962,390
Odisha,Cuttack,19949794,378
Odisha,Ganjam,18342327,382
Odisha,Baleshwar,14271020,373
Odisha,Jajapur,12435083,384
Odisha,Sundargarh,11395189,401
Odisha,Puri,10925923,397
Odisha,Kendujhar,9096380,388
Odisha,Bhadrak,9312356,375
Odisha,Anugul,1551118,372
Odisha,Mayurbhanj,6688290,393
Puducherry,Puducherry,7112367,404
Puducherry,Karaikal,819893,402
Puducherry,Yanam,326072,405
Puducherry,Mahe,217840,403
Punjab,Ludhiana,28132112,415
Punjab,Sas nagar,15912901,
Punjab,Patiala,10462018,420
Punjab,Amritsar,11183225,406
Punjab,Jalandhar,10569419,414
Punjab,Bathinda,7281164,407
Punjab,Fazilka,6251929,
Punjab,Sangrur,6059469,422
Punjab,Hoshiarpur,5087284,412
Punjab,Gurdaspur,4561600,411
Rajasthan,Jaipur,101626061,439
Rajasthan,Alwar,30252812,424
Rajasthan,Jodhpur,25978177,444
Rajasthan,Kota,17227221,446
Rajasthan,Sikar,19437870,451
Rajasthan,Ajmer,17957643,423
Rajasthan,Udaipur,15594070,454
Rajasthan,Bhilwara,16607508,429
Rajasthan,Nagaur,16916024,447
Rajasthan,Jhunjhunu,14400157,443
Sikkim,East,2276989,455
Sikkim,South,814156,457
Sikkim,West,504927,458
Sikkim,North,334223,456
Tamil Nadu,Chennai,46113954,460
Tamil Nadu,Thiruvallur,37580004,480
Tamil Nadu,Chengalpattu,31425357,
Tamil Nadu,Coimbatore,31847531,461
Tamil Nadu,Kancheepuram,22246286,466
Tamil Nadu,Salem,16994814,476
Tamil Nadu,Tiruppur,18943886,
Tamil Nadu,Madurai,15347906,469
Tamil Nadu,Krishnagiri,14505003,
Tamil Nadu,Tiruchirappalli,12905001,483
Telangana,Hyderabad,84011918,9
Telangana,Rangareddy,73171630,20
Telangana,Medchal malkajgiri,61998522,15
Telangana,Sangareddy,19277281,
Telangana,Warangal urban,15652348,24
Telangana,Karimnagar,11596165,10
Telangana,Khammam,12438896,11
Telangana,Nalgonda,12978113,16
Telangana,Nizamabad,11918272,18
Telangana,Peddapalle,380007,
Telangana,Siddipet,1259499,
Telangana,Bhadradri kothagudem,7304210,
Tripura,West tripura,4452312,492
Tripura,South tripura,1199024,491
Tripura,Sepahijala,1184212,
Tripura,Gomati,1012654,
